"","District","Street","Area","Num_whole_rooms","Num_half_rooms","Price","Condition","Comfort_lev","Energy_eff","Floor","Floors_in_bdg","Lift","Ceiling_height","Air_conditioning","Furnished","Overhead","Vacant_possession","Min_rental(month)","View_to","Garden","Mechanized","Pets","Smoking","Parking","Year","Balcony","Parking_fee(monthly)","Address","ddress","lat","long"
"1",8," Orczy út 46-48",42,1,NA,99000,"renovated","high",NA,1,2,"No",NA,"Yes","Yes",NA,"immediately","nincs",NA,NA,"Yes","No",NA,"street",NA,NA,NA," Orczy út 46-48,8"," Orczy út 46-48, 8",47.487824,19.0927789
"2",13," Frangepán utca",44,1,1,175000,"new","high",NA,5,8,"Yes","less than 3","No","Yes",NA,"immediately","1 év","street","No","Yes","No","No","can rent","2020","2",NA," Frangepán utca,13"," Frangepán utca, 13",47.5355686,19.0728925
"3",9," Kinizsi utca",70,3,NA,160000,"like new","very high",NA,3,5,"Yes",NA,NA,"Yes",NA,"immediately","1 év","street","No","Yes",NA,"No","can rent","2001-2010 ",NA,30000," Kinizsi utca,9"," Kinizsi utca, 9",47.5837366,19.0614178591709
"4",14," Öv utca 133.",43,2,NA,144000,"like new","high","AA+",3,8,"Yes","less than 3",NA,"By arrangement",25000,"not immediately","1 év","panorama",NA,NA,"Yes",NA,"can rent","2012","5",8000," Öv utca 133.,14"," Öv utca 133., 14",47.5299747,19.1273632600085
"5",13," Ipoly utca 3.",55,2,NA,185000,"new","high","AA+",5,9,"Yes","less than 3","Yes","By arrangement",25000,"not immediately","1 év","garden",NA,"Yes","Yes","Yes","can rent","2013","11",45000," Ipoly utca 3.,13"," Ipoly utca 3., 13",47.520241,19.0537582
"6",11," Szentimreváros",110,3,NA,420000,"renovated","very high",NA,3,3,"No","less than 3","Yes","Yes",NA,"immediately","1 év","garden","No","Yes",NA,"No","included",NA,"6",NA," Szentimreváros,11"," Szentimreváros, 11",47.479064,19.0387155
"7",16," Koronafürt utca 44",20,1,NA,80000,"new","high","AA",NA,5,"Yes",NA,"No","Yes",20000,"immediately","5 hónap","yard","Yes","Yes","No","No","included","2019",NA,NA," Koronafürt utca 44,16"," Koronafürt utca 44, 16",47.5072511,19.2021583
"8",5," Semmelweis utca 11.",20,1,NA,90000,"new","high","AA",NA,7,"Yes",NA,"No","Yes",20000,"immediately","5 hónap",NA,"No","Yes","No","No",NA,"2017",NA,NA," Semmelweis utca 11.,5"," Semmelweis utca 11., 5",47.4948963,19.0583159304469
"9",5," Petofi Sándor utca 17.",42,1,1,349000,"new","high",NA,2,8,"Yes","less than 3",NA,"Yes",70000,"immediately","1 év","yard","No","Yes","No","No","street","2021","10",NA," Petofi Sándor utca 17.,5"," Petofi Sándor utca 17., 5",47.4949365,19.0534821
"10",2," Újlak",73,2,1,240000,"like new","very high",NA,3,5,"Yes","less than 3",NA,"No",NA,"immediately","1 év","street","No","No",NA,"No","street","1981-2000 ",NA,NA," Újlak,2"," Újlak, 2",47.4786565,19.2351127
"11",13," Madarász Viktor utca 38.",42,1,1,168750,"new","high",NA,4,8,"Yes",NA,"Yes","Yes",15000,"immediately","1 év",NA,NA,"Yes",NA,NA,NA,"2020","11",NA," Madarász Viktor utca 38.,13"," Madarász Viktor utca 38., 13",47.5513389,19.0769152
"12",13," Röppentyu utca",45,2,NA,140000,"like new","high",NA,2,6,"Yes","less than 3",NA,"Partially",NA,"not immediately","1 év","garden","No","Yes","No","No","street","2001-2010 ","6",NA," Röppentyu utca,13"," Röppentyu utca, 13",47.66498235,17.6606604142781
"13",11," Szentimreváros",70,3,NA,2e+05,"renovated","high",NA,0.5,2,"No","3 or more","No","No",40000,"immediately","1 év","garden","No","No","No","No","can rent",NA,NA,25000," Szentimreváros,11"," Szentimreváros, 11",47.479064,19.0387155
"14",2," Bécsi út",97,4,NA,425000,"like new","very high",NA,2,6,"Yes","less than 3","Yes","No",NA,"immediately","1 év","street","No","Yes","No","No","must rent","2001-2010 ","15",25000," Bécsi út,2"," Bécsi út, 2",47.524786,19.0367661
"15",7," Dohány utca",50,2,NA,120000,"renovated","average",NA,2,4,"No","3 or more","No","Yes",NA,"immediately","1 év","yard","No","Yes","No","No","street","1950 elott",NA,NA," Dohány utca,7"," Dohány utca, 7",47.4953393,19.062168
"16",21," Kossuth Lajos utca",55,2,NA,120000,"good","high",NA,NA,10,NA,"less than 3",NA,"Yes",15000,NA,"1 év","street",NA,"Yes","No","No","street",NA,"3",NA," Kossuth Lajos utca,21"," Kossuth Lajos utca, 21",47.4230894,19.0693245
"17",9," Ferenc körút",37,1,1,120000,"renovated","high",NA,1,5,"Yes","3 or more","Yes","No",NA,"immediately","1 év","street","No","Yes",NA,"No","street",NA,NA,NA," Ferenc körút,9"," Ferenc körút, 9",47.9655378,21.7166364
